Date,Open,High,Low,Close,Adj Close,Volume
2017-06-09,0.258957,0.267596,0.255436,0.255557,0.255557,91567190
2017-06-10,0.255366,0.258212,0.230414,0.233090,0.233090,140029478
2017-06-11,0.231813,0.248155,0.231516,0.243535,0.243535,102291071
2017-06-12,0.243817,0.253028,0.220941,0.226835,0.226835,133924615
2017-06-13,0.226709,0.245056,0.225259,0.237467,0.237467,99872412
2017-06-14,0.237173,0.273599,0.234813,0.248392,0.248392,384563782
2017-06-15,0.248168,0.248750,0.216336,0.232588,0.232588,171838162
2017-06-16,0.232774,0.238263,0.226355,0.234094,0.234094,78742652
2017-06-17,0.234353,0.241820,0.230554,0.239706,0.239706,108930772
2017-06-18,0.239469,0.258569,0.236783,0.254039,0.254039,207544407
2017-06-19,0.253483,0.265723,0.250297,0.265723,0.265723,148047933
2017-06-20,0.262246,0.305226,0.260222,0.291358,0.291358,712716644
2017-06-21,0.291534,0.294430,0.254021,0.265418,0.265418,321057667
2017-06-22,0.268571,0.273865,0.261522,0.267200,0.267200,174532168
2017-06-23,0.267083,0.286641,0.264499,0.285950,0.285950,158374434
2017-06-24,0.285244,0.292330,0.273894,0.278025,0.278025,280348539
2017-06-25,0.277762,0.278067,0.258375,0.266473,0.266473,141838549
2017-06-26,0.266783,0.269818,0.233312,0.247999,0.247999,250514265
2017-06-27,0.247999,0.249249,0.222584,0.243764,0.243764,164932516
2017-06-28,0.242956,0.247420,0.235567,0.246489,0.246489,110984355
2017-06-29,0.246586,0.246835,0.231509,0.232032,0.232032,78455543
2017-06-30,0.232590,0.235981,0.229614,0.230216,0.230216,59333242
2017-07-01,0.230151,0.230324,0.221492,0.223049,0.223049,46940723
2017-07-02,0.222846,0.227588,0.219722,0.227148,0.227148,47360357
2017-07-03,0.226735,0.230844,0.224052,0.228596,0.228596,53084593
2017-07-04,0.228492,0.230617,0.223991,0.224235,0.224235,49307949
2017-07-05,0.224602,0.230503,0.223873,0.226091,0.226091,64597299
2017-07-06,0.225960,0.226722,0.222157,0.222978,0.222978,38393870
2017-07-07,0.223168,0.223748,0.209554,0.210070,0.210070,77550877
2017-07-08,0.210299,0.210299,0.194534,0.207135,0.207135,109278947
2017-07-09,0.207793,0.217983,0.204697,0.204697,0.204697,72573007
2017-07-10,0.205268,0.205322,0.162704,0.178293,0.178293,104753839
2017-07-11,0.172369,0.178413,0.147679,0.161279,0.161279,236589093
2017-07-12,0.160563,0.180391,0.154336,0.179851,0.179851,134019099
2017-07-13,0.180306,0.201762,0.169582,0.176133,0.176133,190114902
2017-07-14,0.176142,0.176577,0.160036,0.166363,0.166363,84623353
2017-07-15,0.166544,0.166711,0.145738,0.148765,0.148765,114920205
2017-07-16,0.147798,0.150497,0.104448,0.129059,0.129059,224846582
